413,Vanguard,2,18472
414,Sky Skipper,2,18546
415,Donkey Kong,2,1086
416,Super Cobra,2,5708
417,Frogger (1981),2,6795
418,Galaga,2,2751
419,Warp & Warp,2,39399
420,18 Holes Pro Golf,2,313989
421,Qix,2,12266
422,Tempest,2,15383
423,5,2,38521
424,Round-Up,2,92222
425,Fantasy,2,94811
426,Frisky Tom,2,40038
427,Solar Quest,2,18782
428,Make Trax,2,23512
429,Turtles,2,23686
430,600,2,249254
431,Polybius,2,178251
432,Kickman,2,41120
433,Lady Bug,2,5677
434,Mouse Trap,2,5687
435,Venture,2,5703
436,Borderline,2,6101
437,Space Fury,2,8805
438,Amidar,2,11116
439,Gorf,2,12307
440,Crazy Kong,2,13833
441,Stargate,2,17459
442,River Patrol,2,18478
443,Cosmic Avenger,2,18504
444,Turbo,4,18510
445,Omega Race,2,18562
446,Moon Shuttle,2,18701
447,Solar Fox,2,18708
448,Bosconian,2,18758
449,Eliminator,2,22848
450,The Adventures of Robby Roto,2,23169
451,Kick Man,2,23170
452,Lazarian,2,23917
453,Space Odyssey,2,24829
454,Frog & Spiders,2,39293
455,Zarzon,2,39346
456,Tank Battalion,2,39404
457,Boxing Bugs,2,39412
458,Armored Car,2,40015
459,Jungler,2,40050
460,Laser Base,2,40584
461,Dambusters,2,65237
462,Space Fortress,2,66807
463,Piranha,2,92881
464,Maze Invaders,2,98243
465,Panther,2,100285
466,Space Demon,2,145469
467,Draco,2,151163
468,Challenger,2,176104
469,D-Day,2,176108
470,Astro Wars,2,250337
471,Space Bugger,2,281028
472,Funky Fish,2,281194
473,Colony 7,2,281286
474,Super Tank,2,281822
475,Enigma II,2,281823
476,Kaos,2,281848
477,Mars,2,281857
478,Lil' Hustler,2,281859
479,Cosmos,2,281862
480,Dark Warrior,2,285642
481,Super Missile Attack,2,308116
482,Winners Circle,2,308128
483,Crazy Kong Part II,2,311035
484,Thief,2,362857
485,Zaxxon,2,2753
486,Robotron: 2084,2,3592
487,Ghost Muncher,2,38649
488,Ms. Pac-Man,2,7452
489,Bubbles,2,38537
490,Check Man,2,39609
491,Devil Fish,2,39633
492,Tazz-Mania,2,39892
493,Flyboy,2,39894
494,Disco No.1,2,40046
495,Hot Shocker,2,40055
496,Jackson,2,40192
497,Joyman,2,40203
498,Alpine Ski,2,46759
499,Azurian Attack,2,46771
500,Dig Dug,2,2636
501,Loco-Motion,2,5681
502,Ali Baba and 40 Thieves,2,39468
503,Knock Out!!,2,40231
504,Pac-Man Plus,2,46813
505,The Pit,2,23513
506,Ponpoko,2,39395
507,Moon Patrol,2,12314
508,Kangaroo,2,12310
509,The Bounty,2,40286
510,Birdie King,2,40291
511,The Electric Yo-Yo,2,40301
512,Mighty Monkey,2,40389
513,Runaway,2,40419
514,Sky Base,2,41105
515,Megadon,2,40356
516,Kram,2,46878
517,Streaking,2,40435
518,Super Locomotive,2,40464
519,Tug Boat,2,40495
520,Sky Bumper,2,41104
521,Strike Bowling,2,40433
522,Jungle Hunt,2,18228
523,Donkey Kong Junior,2,1087
524,Tutankham,2,5701
525,Swimmer,2,39405
526,Funky Bee,2,40131
527,Joust,2,3659
528,Tron,2,5247
529,Zektor,2,24638
530,BurgerTime,2,4609
531,Mr. Do!,2,9554
532,Blueprint,2,18804
533,Pole Position,2,5691
534,Pengo,2,12316
535,Super Pac-Man,2,21681
536,Pooyan,2,4618
537,Q*bert,2,1980
538,Bump 'n' Jump,2,5664
539,Time Pilot,4,10273
540,Battle Cross,2,40242
541,Pirate Pete,2,154810
542,Millipede,2,4604
543,Quantum,2,19374
544,Bagman,2,25829
545,Anteater,2,38523
546,Chance-kun,2,38614
547,Cotocoto Cottong,2,38621
548,Calipso,2,39610
549,Astro Chase,2,12304
550,Xevious,2,12346
551,Popeye (1982),2,4619
552,Pop Flamer,2,6126
553,Zoom 909,2,6144
554,Buck Rogers: Planet of Zoom,2,11142
555,Star Trek: Strategic Operations Simulator,2,12319
556,Frenzy,2,13717
557,Gravitar,2,17246
558,Monster Bash,2,18059
559,Wild Western,2,18060
560,Space Duel,2,18405
561,Liberator,2,18456
562,Looping,2,18511
563,Reactor,2,18545
564,Mission X,2,18648
565,Springer,2,18652
566,Tac-Scan,2,18667
567,Slither,2,18780
568,Pepper II,2,18803
569,Space Dungeon,2,18842
570,Satan's Hollow,2,18843
571,SubRoc 3D,2,22496
572,Super Zaxxon,2,22696
573,Front Line,2,22771
574,Lost Tomb,2,23503
575,Leprechaun,2,23511
576,Beezer,2,23569
577,Victory,2,23570
578,Changes,2,23934
579,Nibbler,2,24063
580,Triple Punch,2,38552
581,Wiping,2,38558
582,Moguchan,2,38584
583,Zoar,2,39307
584,Jack The Giantkiller,2,39372
585,Teeter Torture,2,39513
586,Dream Shopper,2,39629
587,Pioneer Balloon,2,40068
588,Macho Mouse,2,40079
589,Lasso,2,40084
590,Radical Radial,2,40088
591,Dorodon,2,40100
592,Naughty Boy,2,40990
593,Nato defense,2,40991
594,Fast Freddie,2,46795
595,Baby Pac-Man,2,46814
596,Rescue,2,46855
597,Terror House,2,62798
598,Angler Dangler,2,83303
599,Hard Hat,2,91851
600,Pisces,2,109444
601,Minky Monkey,2,125525
602,Explorer,2,131269
603,Competition Golf: Final Round,2,133529
604,Victor Banana,2,171478
605,Warpitout,2,172412
606,War of the Worlds,2,175633
607,Zzyzzyxx,2,175634
608,Tunnel Hunt,2,176079
609,Splat!,2,178344
610,The Electric Yoyo,2,221402
611,Kozmik Krooz'r,2,245279
612,Abscam,2,247331
613,Red Clash,2,251368
614,Video 8 Ball,2,252115
615,QB-3,2,258812
616,Wall Street,2,261989
617,Cosmopolis,2,280982
618,Radar Zone,2,281861
619,Oli Boo Chu,2,284406
620,Time Tunnel,2,285136
621,Mrs. Dynamite,2,285138
622,Rougien,2,292097
623,Ms. Pac-Man: Speedup,2,308393
624,Super Bowl,2,370507
625,Adventure Canoe,2,392769
626,Van-Van Car,2,38556
627,Dog Fight,2,39768
628,Eggor,2,40114
629,Dark Planet,2,175625
630,Rug Rats,2,292037
631,Champion Baseball,2,6084
632,Champion Boxing,2,6086
633,Yamato,2,6143
634,Black Widow,2,18455
635,Sinistar,2,18693
636,Aztarac,2,39320
637,Major Havoc,2,39384
638,Ambush,2,39467
639,Tropical Angel,2,39940
640,Zodiack,2,40000
641,Jump Coaster,2,40051
642,Hopper Robo,2,40057
643,High Way Race,2,40060
644,Munch Mobile,2,40204
645,Joinem,2,40208
646,Car Jamboree,2,40232
647,Boggy '84,2,40261
648,A.D. 2083,2,46766
649,Scrambled Egg,2,40198
650,Mappy,2,2710
651,Gyruss,2,12308
652,Food Fight,2,12325
653,Harem,2,266649
654,Guzzler,2,13865
655,Bio Attack,2,40031
656,Birdie King 2,2,40290
657,Treasure Cove,2,66805
658,Mahjong Kyoushitsu,2,130623
659,Star Wars,4,12858
660,Astron Belt,4,22732
661,Frog,2,266939
662,Elevator Action,2,4599
663,Arabian,2,13682
664,Bega's Battle,2,23938
665,Dribbling,2,40306
666,Dr. Micro,2,40308
667,Great Guns,2,40321
668,Markham,2,40361
669,Lover Boy,2,40367
670,New Sinbad 7,2,40380
671,Razzmatazz,2,40392
672,Pig Newton,2,40403
673,Ozon I,2,40375
674,Super Doubles Tennis,2,40425
675,Super Rider,2,40462
676,Time Limit,2,40478
677,Grasspin,2,39905
678,Super Glob,2,40465
679,Vastar,2,40517
680,Stinger,2,40442
681,Water Ski,2,40712
682,Screw Loose,2,40412
683,Galaxy Ranger,2,39356
684,Dragon's Lair,2,4248
685,Chameleon (1983),2,214466
686,Battle Cruiser M-12,2,40241
687,Crystal Castles,2,11207
688,Mario Bros.,2,3105
689,Pac & Pal,2,18381
690,Discs of Tron,2,21817
691,Up'n Down,2,40091
692,Hyper Olympic,2,278573
693,Tapper,2,23048
694,Mario Bros. (DUPLICATE),2,172201
